,question
There is a flight from city D to city C
There is a flight from city D to city E
There is a flight from city L to city B
There is a flight from city L to city A
There is a flight from city M to city D
There is a flight from city A to city F

Question: Is there a series of flights that goes from city L to city N?"
1181,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city F
There is a flight from city C to city E
There is a flight from city H to city A
There is a flight from city D to city I
There is a flight from city I to city G
There is a flight from city M to city N
There is a flight from city M to city B
There is a flight from city A to city K
There is a flight from city I to city J
There is a flight from city A to city L
There is a flight from city H to city M
There is a flight from city D to city C

Question: Is there a series of flights that goes from city H to city G?"
1182,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city N to city C
There is a flight from city J to city F
There is a flight from city A to city E
There is a flight from city A to city H
There is a flight from city K to city I
There is a flight from city N to city B
There is a flight from city J to city L
There is a flight from city M to city N
There is a flight from city M to city J
There is a flight from city G to city A
There is a flight from city G to city K
There is a flight from city K to city D

Question: Is there a series of flights that goes from city M to city E?"
1183,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city N
There is a flight from city C to city J
There is a flight from city L to city E
There is a flight from city D to city C
There is a flight from city M to city H
There is a flight from city B to city L
There is a flight from city G to city I
There is a flight from city B to city M
There is a flight from city L to city A
There is a flight from city C to city K
There is a flight from city D to city G
There is a flight from city G to city F

Question: Is there a series of flights that goes from city B to city I?"
1184,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city C
There is a flight from city H to city B
There is a flight from city A to city M
There is a flight from city I to city E
There is a flight from city B to city L
There is a flight from city C to city F
There is a flight from city C to city K
There is a flight from city B to city G
There is a flight from city H to city A
There is a flight from city A to city J
There is a flight from city I to city N
There is a flight from city D to city I

Question: Is there a series of flights that goes from city D to city L?"
1185,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city N
There is a flight from city D to city E
There is a flight from city H to city F
There is a flight from city L to city I
There is a flight from city F to city G
There is a flight from city F to city M
There is a flight from city D to city L
There is a flight from city H to city C
There is a flight from city E to city J
There is a flight from city L to city B
There is a flight from city E to city K
There is a flight from city C to city A

Question: Is there a series of flights that goes from city D to city G?"
1186,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city F to city A
There is a flight from city M to city N
There is a flight from city G to city B
There is a flight from city F to city I
There is a flight from city L to city M
There is a flight from city B to city K
There is a flight from city J to city E
There is a flight from city G to city J
There is a flight from city L to city F
There is a flight from city M to city D
There is a flight from city B to city H
There is a flight from city J to city C

Question: Is there a series of flights that goes from city L to city E?"
1187,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city F
There is a flight from city K to city J
There is a flight from city I to city M
There is a flight from city I to city H
There is a flight from city M to city C
There is a flight from city L to city K
There is a flight from city H to city B
There is a flight from city H to city D
There is a flight from city A to city E
There is a flight from city L to city A
There is a flight from city K to city G
There is a flight from city A to city N

Question: Is there a series of flights that goes from city L to city C?"
1188,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city H to city K
There is a flight from city G to city H
There is a flight from city N to city E
There is a flight from city F to city B
There is a flight from city A to city D
There is a flight from city A to city J
There is a flight from city N to city L
There is a flight from city M to city N
There is a flight from city F to city C
There is a flight from city H to city I
There is a flight from city G to city A
There is a flight from city M to city F

Question: Is there a series of flights that goes from city G to city C?"
1189,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city K
There is a flight from city C to city F
There is a flight from city E to city C
There is a flight from city H to city I
There is a flight from city M to city A
There is a flight from city L to city B
There is a flight from city M to city H
There is a flight from city L to city J
There is a flight from city A to city N
There is a flight from city E to city L
There is a flight from city H to city G
There is a flight from city A to city D

Question: Is there a series of flights that goes from city M to city J?"
1190,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city H to city N
There is a flight from city L to city A
There is a flight from city H to city L
There is a flight from city C to city K
There is a flight from city M to city I
There is a flight from city I to city G
There is a flight from city I to city D
There is a flight from city N to city F
There is a flight from city N to city J
There is a flight from city C to city E
There is a flight from city M to city C
There is a flight from city L to city B

Question: Is there a series of flights that goes from city M to city A?"
1191,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city I
There is a flight from city D to city G
There is a flight from city C to city M
There is a flight from city C to city L
There is a flight from city E to city B
There is a flight from city A to city C
There is a flight from city A to city K
There is a flight from city B to city H
There is a flight from city D to city N
There is a flight from city B to city J
There is a flight from city K to city F
There is a flight from city E to city D

Question: Is there a series of flights that goes from city E to city M?"
1192,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city H
There is a flight from city K to city D
There is a flight from city J to city N
There is a flight from city C to city A
There is a flight from city G to city J
There is a flight from city K to city I
There is a flight from city G to city M
There is a flight from city A to city L
There is a flight from city C to city K
There is a flight from city A to city E
There is a flight from city J to city F
There is a flight from city M to city B

Question: Is there a series of flights that goes from city G to city I?"
1193,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city E to city I
There is a flight from city M to city A
There is a flight from city L to city M
There is a flight from city B to city H
There is a flight from city K to city C
There is a flight from city J to city E
There is a flight from city B to city N
There is a flight from city J to city K
There is a flight from city K to city G
There is a flight from city M to city D
There is a flight from city E to city F
There is a flight from city L to city B

Question: Is there a series of flights that goes from city J to city A?"
1194,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city H to city N
There is a flight from city F to city M
There is a flight from city H to city I
There is a flight from city F to city G
There is a flight from city I to city A
There is a flight from city G to city K
There is a flight from city I to city D
There is a flight from city M to city E
There is a flight from city M to city C
There is a flight from city N to city B
There is a flight from city N to city J
There is a flight from city G to city L

Question: Is there a series of flights that goes from city H to city L?"
1195,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city I to city B
There is a flight from city C to city D
There is a flight from city K to city I
There is a flight from city M to city J
There is a flight from city C to city F
There is a flight from city A to city N
There is a flight from city I to city H
There is a flight from city M to city G
There is a flight from city N to city L
There is a flight from city A to city C
There is a flight from city K to city M
There is a flight from city N to city E

Question: Is there a series of flights that goes from city A to city B?"
1196,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city H to city A
There is a flight from city C to city K
There is a flight from city F to city B
There is a flight from city I to city N
There is a flight from city H to city D
There is a flight from city I to city H
There is a flight from city N to city G
There is a flight from city M to city C
There is a flight from city F to city L
There is a flight from city C to city J
There is a flight from city M to city F
There is a flight from city N to city E

Question: Is there a series of flights that goes from city M to city A?"
1197,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city L
There is a flight from city H to city N
There is a flight from city A to city G
There is a flight from city E to city A
There is a flight from city H to city C
There is a flight from city K to city B
There is a flight from city E to city M
There is a flight from city I to city K
There is a flight from city A to city F
There is a flight from city I to city H
There is a flight from city K to city J
There is a flight from city M to city D

Question: Is there a series of flights that goes from city E to city J?"
1198,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city F to city D
There is a flight from city B to city M
There is a flight from city K to city J
There is a flight from city J to city N
There is a flight from city G to city F
There is a flight from city K to city B
There is a flight from city C to city A
There is a flight from city J to city E
There is a flight from city G to city C
There is a flight from city C to city I
There is a flight from city B to city H
There is a flight from city F to city L

Question: Is there a series of flights that goes from city K to city I?"
1199,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city E to city M
There is a flight from city D to city K
There is a flight from city C to city E
There is a flight from city A to city I
There is a flight from city A to city N
There is a flight from city K to city J
There is a flight from city L to city B
There is a flight from city L to city G
There is a flight from city C to city L
There is a flight from city D to city A
There is a flight from city E to city H
There is a flight from city K to city F

Question: Is there a series of flights that goes from city D to city G?"
1200,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city A to city K
There is a flight from city A to city L
There is a flight from city H to city C
There is a flight from city F to city B
There is a flight from city F to city D
There is a flight from city I to city H
There is a flight from city E to city N
There is a flight from city J to city E
There is a flight from city J to city F
There is a flight from city E to city M
There is a flight from city H to city G
There is a flight from city I to city A

Question: Is there a series of flights that goes from city J to city L?"
1201,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city B
There is a flight from city M to city J
There is a flight from city G to city C
There is a flight from city G to city A
There is a flight from city E to city G
There is a flight from city N to city I
There is a flight from city I to city F
There is a flight from city M to city L
There is a flight from city E to city M
There is a flight from city I to city K
There is a flight from city N to city D
There is a flight from city D to city H

Question: Is there a series of flights that goes from city E to city K?"
1202,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city H to city F
There is a flight from city N to city G
There is a flight from city F to city K
There is a flight from city I to city B
There is a flight from city J to city M
There is a flight from city J to city L
There is a flight from city C to city N
There is a flight from city H to city J
There is a flight from city C to city I
There is a flight from city N to city E
There is a flight from city I to city A
There is a flight from city F to city D

Question: Is there a series of flights that goes from city H to city A?"
1203,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city F to city L
There is a flight from city N to city E
There is a flight from city C to city G
There is a flight from city E to city A
There is a flight from city C to city I
There is a flight from city H to city J
There is a flight from city B to city H
There is a flight from city B to city C
There is a flight from city E to city K
There is a flight from city N to city F
There is a flight from city F to city D
There is a flight from city H to city M

Question: Is there a series of flights that goes from city B to city A?"
1204,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city B to city C
There is a flight from city K to city B
There is a flight from city H to city A
There is a flight from city M to city L
There is a flight from city E to city D
There is a flight from city A to city F
There is a flight from city B to city N
There is a flight from city K to city E
There is a flight from city E to city J
There is a flight from city H to city M
There is a flight from city A to city G
There is a flight from city M to city I

Question: Is there a series of flights that goes from city H to city D?"
1205,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city G
There is a flight from city E to city H
There is a flight from city J to city N
There is a flight from city J to city L
There is a flight from city H to city K
There is a flight from city C to city F
There is a flight from city B to city C
There is a flight from city H to city M
There is a flight from city B to city J
There is a flight from city E to city A
There is a flight from city A to city I
There is a flight from city A to city D

Question: Is there a series of flights that goes from city B to city I?"
1206,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city G to city M
There is a flight from city C to city G
There is a flight from city A to city F
There is a flight from city L to city J
There is a flight from city E to city H
There is a flight from city A to city D
There is a flight from city G to city N
There is a flight from city J to city B
There is a flight from city J to city K
There is a flight from city L to city A
There is a flight from city E to city I
There is a flight from city C to city E

Question: Is there a series of flights that goes from city C to city B?"
1207,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city L to city E
There is a flight from city N to city F
There is a flight from city B to city K
There is a flight from city M to city I
There is a flight from city A to city B
There is a flight from city B to city D
There is a flight from city N to city G
There is a flight from city M to city N
There is a flight from city L to city H
There is a flight from city I to city C
There is a flight from city I to city J
There is a flight from city A to city L

Question: Is there a series of flights that goes from city A to city G?"
1208,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city A
There is a flight from city L to city E
There is a flight from city A to city B
There is a flight from city A to city N
There is a flight from city F to city G
There is a flight from city I to city J
There is a flight from city L to city H
There is a flight from city C to city L
There is a flight from city I to city M
There is a flight from city K to city F
There is a flight from city F to city D
There is a flight from city C to city I

Question: Is there a series of flights that goes from city C to city G?"
1209,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city F
There is a flight from city K to city D
There is a flight from city H to city I
There is a flight from city J to city L
There is a flight from city K to city C
There is a flight from city H to city E
There is a flight from city A to city K
There is a flight from city J to city N
There is a flight from city G to city M
There is a flight from city M to city B
There is a flight from city A to city H
There is a flight from city G to city J

Question: Is there a series of flights that goes from city A to city N?"
1210,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city D
There is a flight from city M to city L
There is a flight from city D to city J
There is a flight from city D to city F
There is a flight from city C to city G
There is a flight from city C to city E
There is a flight from city L to city K
There is a flight from city N to city A
There is a flight from city N to city B
There is a flight from city I to city N
There is a flight from city L to city H
There is a flight from city I to city C

Question: Is there a series of flights that goes from city I to city F?"
1211,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city N
There is a flight from city L to city F
There is a flight from city M to city L
There is a flight from city J to city A
There is a flight from city J to city G
There is a flight from city M to city H
There is a flight from city K to city C
There is a flight from city D to city J
There is a flight from city H to city I
There is a flight from city D to city K
There is a flight from city L to city B
There is a flight from city H to city E

Question: Is there a series of flights that goes from city M to city C?"
1212,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city G to city B
There is a flight from city N to city M
There is a flight from city F to city N
There is a flight from city E to city L
There is a flight from city E to city G
There is a flight from city N to city J
There is a flight from city F to city A
There is a flight from city G to city K
There is a flight from city L to city D
There is a flight from city A to city C
There is a flight from city L to city H
There is a flight from city A to city I

Question: Is there a series of flights that goes from city F to city B?"
1213,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city F to city E
There is a flight from city F to city C
There is a flight from city L to city K
There is a flight from city B to city D
There is a flight from city L to city J
There is a flight from city N to city G
There is a flight from city N to city M
There is a flight from city D to city I
There is a flight from city A to city F
There is a flight from city D to city H
There is a flight from city B to city N
There is a flight from city A to city L

Question: Is there a series of flights that goes from city B to city J?"
1214,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city B
There is a flight from city F to city A
There is a flight from city K to city I
There is a flight from city E to city C
There is a flight from city E to city J
There is a flight from city H to city F
There is a flight from city N to city D
There is a flight from city N to city K
There is a flight from city D to city G
There is a flight from city K to city M
There is a flight from city F to city L
There is a flight from city H to city E

Question: Is there a series of flights that goes from city N to city L?"
1215,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city N to city K
There is a flight from city D to city A
There is a flight from city F to city I
There is a flight from city H to city N
There is a flight from city D to city E
There is a flight from city M to city F
There is a flight from city M to city D
There is a flight from city B to city L
There is a flight from city F to city G
There is a flight from city B to city C
There is a flight from city N to city J
There is a flight from city H to city B

Question: Is there a series of flights that goes from city M to city J?"
1216,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city L to city H
There is a flight from city L to city I
There is a flight from city J to city K
There is a flight from city K to city N
There is a flight from city F to city E
There is a flight from city C to city B
There is a flight from city C to city G
There is a flight from city D to city F
There is a flight from city F to city M
There is a flight from city J to city L
There is a flight from city K to city A
There is a flight from city D to city C

Question: Is there a series of flights that goes from city J to city E?"
1217,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city F to city C
There is a flight from city F to city E
There is a flight from city B to city I
There is a flight from city E to city M
There is a flight from city E to city G
There is a flight from city J to city N
There is a flight from city J to city L
There is a flight from city D to city B
There is a flight from city D to city J
There is a flight from city C to city K
There is a flight from city B to city H
There is a flight from city C to city A

Question: Is there a series of flights that goes from city D to city A?"
1218,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city M
There is a flight from city M to city N
There is a flight from city K to city C
There is a flight from city E to city G
There is a flight from city K to city J
There is a flight from city D to city H
There is a flight from city H to city F
There is a flight from city G to city B
There is a flight from city M to city L
There is a flight from city E to city K
There is a flight from city G to city I
There is a flight from city H to city A

Question: Is there a series of flights that goes from city D to city I?"
1219,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city N to city E
There is a flight from city A to city H
There is a flight from city E to city L
There is a flight from city G to city I
There is a flight from city E to city M
There is a flight from city A to city F
There is a flight from city H to city C
There is a flight from city N to city G
There is a flight from city G to city J
There is a flight from city F to city D
There is a flight from city H to city K
There is a flight from city F to city B

Question: Is there a series of flights that goes from city A to city L?"
1220,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city B to city F
There is a flight from city L to city N
There is a flight from city N to city H
There is a flight from city A to city J
There is a flight from city G to city E
There is a flight from city A to city B
There is a flight from city N to city K
There is a flight from city G to city I
There is a flight from city J to city D
There is a flight from city L to city G
There is a flight from city J to city M
There is a flight from city B to city C

Question: Is there a series of flights that goes from city L to city D?"
1221,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city E to city A
There is a flight from city H to city I
There is a flight from city I to city L
There is a flight from city G to city C
There is a flight from city I to city M
There is a flight from city B to city F
There is a flight from city F to city D
There is a flight from city H to city G
There is a flight from city F to city J
There is a flight from city E to city N
There is a flight from city G to city K
There is a flight from city B to city E

Question: Is there a series of flights that goes from city H to city N?"
1222,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city J
There is a flight from city J to city L
There is a flight from city K to city G
There is a flight from city G to city F
There is a flight from city J to city N
There is a flight from city G to city H
There is a flight from city K to city B
There is a flight from city A to city E
There is a flight from city B to city I
There is a flight from city A to city C
There is a flight from city D to city A
There is a flight from city B to city M

Question: Is there a series of flights that goes from city D to city M?"
1223,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city G
There is a flight from city E to city A
There is a flight from city G to city F
There is a flight from city G to city D
There is a flight from city A to city J
There is a flight from city I to city L
There is a flight from city E to city C
There is a flight from city A to city M
There is a flight from city C to city N
There is a flight from city K to city I
There is a flight from city I to city B
There is a flight from city C to city H

Question: Is there a series of flights that goes from city K to city J?"
1224,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city I
There is a flight from city L to city M
There is a flight from city L to city B
There is a flight from city G to city H
There is a flight from city I to city D
There is a flight from city J to city F
There is a flight from city N to city L
There is a flight from city N to city G
There is a flight from city I to city A
There is a flight from city K to city J
There is a flight from city J to city E
There is a flight from city G to city C

Question: Is there a series of flights that goes from city K to city H?"
1225,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city C
There is a flight from city B to city L
There is a flight from city E to city K
There is a flight from city K to city I
There is a flight from city F to city N
There is a flight from city A to city H
There is a flight from city M to city A
There is a flight from city A to city J
There is a flight from city F to city D
There is a flight from city E to city F
There is a flight from city M to city B
There is a flight from city B to city G

Question: Is there a series of flights that goes from city E to city H?"
1226,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city L to city E
There is a flight from city N to city C
There is a flight from city H to city B
There is a flight from city I to city K
There is a flight from city I to city G
There is a flight from city N to city M
There is a flight from city D to city I
There is a flight from city L to city J
There is a flight from city F to city H
There is a flight from city F to city L
There is a flight from city D to city N
There is a flight from city H to city A

Question: Is there a series of flights that goes from city D to city E?"
1227,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city E to city A
There is a flight from city C to city I
There is a flight from city M to city K
There is a flight from city N to city B
There is a flight from city E to city N
There is a flight from city A to city L
There is a flight from city M to city C
There is a flight from city A to city H
There is a flight from city K to city D
There is a flight from city N to city F
There is a flight from city K to city G
There is a flight from city C to city J

Question: Is there a series of flights that goes from city M to city B?"
1228,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city E
There is a flight from city N to city B
There is a flight from city G to city F
There is a flight from city N to city K
There is a flight from city G to city D
There is a flight from city J to city M
There is a flight from city L to city G
There is a flight from city L to city N
There is a flight from city A to city C
There is a flight from city A to city H
There is a flight from city M to city I
There is a flight from city J to city A

Question: Is there a series of flights that goes from city J to city D?"
1229,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city E to city D
There is a flight from city C to city F
There is a flight from city F to city B
There is a flight from city L to city N
There is a flight from city D to city G
There is a flight from city C to city L
There is a flight from city D to city A
There is a flight from city F to city I
There is a flight from city L to city J
There is a flight from city E to city K
There is a flight from city K to city H
There is a flight from city K to city M

Question: Is there a series of flights that goes from city C to city H?"
1230,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city L to city A
There is a flight from city A to city B
There is a flight from city C to city M
There is a flight from city M to city F
There is a flight from city A to city K
There is a flight from city H to city G
There is a flight from city M to city I
There is a flight from city C to city H
There is a flight from city L to city J
There is a flight from city J to city D
There is a flight from city H to city N
There is a flight from city J to city E

Question: Is there a series of flights that goes from city L to city G?"
1231,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city K
There is a flight from city K to city I
There is a flight from city A to city F
There is a flight from city G to city C
There is a flight from city K to city H
There is a flight from city D to city J
There is a flight from city B to city G
There is a flight from city M to city A
There is a flight from city G to city N
There is a flight from city A to city E
There is a flight from city D to city L
There is a flight from city B to city D

Question: Is there a series of flights that goes from city B to city F?"
1232,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city K
There is a flight from city A to city E
There is a flight from city A to city N
There is a flight from city L to city G
There is a flight from city C to city D
There is a flight from city B to city A
There is a flight from city B to city L
There is a flight from city F to city I
There is a flight from city I to city J
There is a flight from city I to city H
There is a flight from city F to city C
There is a flight from city L to city M

Question: Is there a series of flights that goes from city F to city M?"
1233,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city I
There is a flight from city A to city B
There is a flight from city F to city H
There is a flight from city E to city L
There is a flight from city D to city F
There is a flight from city A to city K
There is a flight from city I to city G
There is a flight from city E to city J
There is a flight from city M to city A
There is a flight from city F to city N
There is a flight from city I to city C
There is a flight from city D to city E

Question: Is there a series of flights that goes from city D to city C?"
1234,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city L
There is a flight from city F to city N
There is a flight from city B to city G
There is a flight from city H to city J
There is a flight from city F to city M
There is a flight from city B to city D
There is a flight from city E to city F
There is a flight from city E to city B
There is a flight from city K to city C
There is a flight from city I to city H
There is a flight from city I to city K
There is a flight from city H to city A

Question: Is there a series of flights that goes from city I to city M?"
1235,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city I to city D
There is a flight from city L to city C
There is a flight from city E to city K
There is a flight from city I to city F
There is a flight from city B to city E
There is a flight from city F to city G
There is a flight from city D to city J
There is a flight from city B to city L
There is a flight from city L to city H
There is a flight from city E to city A
There is a flight from city D to city N
There is a flight from city F to city M

Question: Is there a series of flights that goes from city I to city C?"
1236,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city A to city C
There is a flight from city E to city L
There is a flight from city A to city H
There is a flight from city C to city F
There is a flight from city E to city M
There is a flight from city H to city J
There is a flight from city H to city I
There is a flight from city M to city B
There is a flight from city C to city N
There is a flight from city L to city G
There is a flight from city M to city D
There is a flight from city L to city K

Question: Is there a series of flights that goes from city E to city F?"
1237,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city H to city C
There is a flight from city E to city L
There is a flight from city A to city J
There is a flight from city N to city M
There is a flight from city A to city G
There is a flight from city H to city F
There is a flight from city K to city E
There is a flight from city N to city B
There is a flight from city I to city H
There is a flight from city I to city A
There is a flight from city K to city N
There is a flight from city E to city D

Question: Is there a series of flights that goes from city K to city F?"
1238,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city A
There is a flight from city C to city F
There is a flight from city A to city D
There is a flight from city K to city N
There is a flight from city M to city J
There is a flight from city N to city E
There is a flight from city F to city I
There is a flight from city F to city B
There is a flight from city M to city H
There is a flight from city A to city G
There is a flight from city N to city L
There is a flight from city K to city M

Question: Is there a series of flights that goes from city K to city B?"
1239,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city B to city K
There is a flight from city A to city F
There is a flight from city J to city M
There is a flight from city N to city E
There is a flight from city B to city L
There is a flight from city J to city H
There is a flight from city C to city N
There is a flight from city C to city B
There is a flight from city F to city I
There is a flight from city F to city G
There is a flight from city N to city D
There is a flight from city A to city J

Question: Is there a series of flights that goes from city C to city I?"
1240,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city G to city M
There is a flight from city L to city N
There is a flight from city I to city A
There is a flight from city E to city K
There is a flight from city K to city B
There is a flight from city I to city J
There is a flight from city E to city I
There is a flight from city K to city H
There is a flight from city G to city D
There is a flight from city L to city C
There is a flight from city F to city G
There is a flight from city F to city L

Question: Is there a series of flights that goes from city F to city B?"
1241,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city I to city N
There is a flight from city H to city A
There is a flight from city D to city E
There is a flight from city E to city G
There is a flight from city E to city F
There is a flight from city D to city H
There is a flight from city N to city M
There is a flight from city N to city C
There is a flight from city H to city B
There is a flight from city I to city J
There is a flight from city J to city K
There is a flight from city J to city L

Question: Is there a series of flights that goes from city I to city A?"
1242,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city G to city J
There is a flight from city J to city E
There is a flight from city D to city I
There is a flight from city C to city F
There is a flight from city D to city C
There is a flight from city J to city N
There is a flight from city I to city M
There is a flight from city I to city A
There is a flight from city G to city L
There is a flight from city C to city B
There is a flight from city L to city H
There is a flight from city L to city K

Question: Is there a series of flights that goes from city G to city F?"
1243,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city I to city D
There is a flight from city A to city N
There is a flight from city I to city B
There is a flight from city H to city E
There is a flight from city G to city K
There is a flight from city F to city A
There is a flight from city E to city M
There is a flight from city F to city G
There is a flight from city G to city C
There is a flight from city A to city L
There is a flight from city H to city I
There is a flight from city E to city J

Question: Is there a series of flights that goes from city F to city B?"
1244,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city I to city E
There is a flight from city J to city K
There is a flight from city C to city L
There is a flight from city J to city D
There is a flight from city N to city C
There is a flight from city N to city J
There is a flight from city G to city H
There is a flight from city B to city G
There is a flight from city G to city A
There is a flight from city B to city I
There is a flight from city C to city F
There is a flight from city I to city M

Question: Is there a series of flights that goes from city B to city L?"
1245,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city L
There is a flight from city M to city K
There is a flight from city A to city N
There is a flight from city K to city J
There is a flight from city K to city B
There is a flight from city F to city D
There is a flight from city M to city H
There is a flight from city H to city C
There is a flight from city F to city A
There is a flight from city H to city E
There is a flight from city A to city I
There is a flight from city D to city G

Question: Is there a series of flights that goes from city M to city I?"
1246,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city B to city E
There is a flight from city K to city C
There is a flight from city H to city A
There is a flight from city H to city B
There is a flight from city I to city G
There is a flight from city A to city N
There is a flight from city K to city J
There is a flight from city B to city D
There is a flight from city A to city F
